,N_S,N_W,S_N,S_W,W_N,W_S
0,24.59656,7.193714,27.990345,2.362749,10.452599,4.3233805
1,25.06532,7.957759,28.422684,2.2070613,11.310519,4.29681
2,25.229614,8.205603,28.77678,2.0675557,11.889158,4.1853967
3,26.079365,8.326317,29.611572,2.2711403,12.943134,4.0280757
4,27.179647,9.155276,30.72593,2.6928232,13.755662,4.1391335
5,27.590393,9.875904,31.257607,2.8384817,13.927657,4.11772
6,28.209036,10.476344,32.177723,2.8480086,14.394192,3.980423
7,27.599707,10.491508,32.200844,2.7256186,14.237524,3.8617752
8,27.559673,10.329858,32.474903,2.5715957,14.554519,3.7591908
9,27.214775,9.882109,32.024887,2.360189,14.408064,3.6719103
10,27.953072,9.752428,32.23886,2.1304955,14.533425,3.8989894
11,28.371721,9.413691,31.817686,1.9449862,14.36064,3.962679
12,28.701712,9.707695,32.259464,1.7593229,14.725085,3.9728255
13,28.500332,9.603698,32.01215,1.5885223,14.538408,4.041336
14,27.65936,9.541543,31.470446,1.4369432,14.038065,4.046511
15,26.259449,9.201909,30.513018,1.3090935,13.390885,4.013071
16,25.35604,9.382249,30.01534,1.2064552,13.072613,3.9563394
17,24.870539,9.162188,28.902704,1.1556001,12.519577,3.981958
18,24.087023,8.7909775,27.964169,1.1392837,11.888674,4.0575404
19,22.809261,8.33966,26.57995,1.1118684,11.258263,4.3154254
20,22.274849,8.143972,25.709513,1.1948273,10.811011,4.4254932
21,21.612625,8.045382,24.946024,1.217042,10.356703,4.4411583
22,21.37577,7.9669366,24.689753,1.2024486,10.042467,4.4913325
23,21.088549,7.811347,24.575998,1.2481271,9.804808,4.5584908
24,20.939932,7.495657,24.273172,1.2454442,9.532571,4.585329
25,20.89753,7.240149,24.338228,1.2149272,9.742149,4.4907503
26,20.561226,6.9141517,24.170414,1.208105,9.745476,4.327133
27,20.91175,6.822796,24.332363,1.1791058,9.916718,4.267927
28,21.174362,6.7128334,24.167742,1.1751257,9.901729,4.180961
29,21.695578,6.8382063,24.77752,1.2301362,10.254739,4.03791
30,22.230642,6.8721256,25.062513,1.2354451,10.424926,3.958257
31,23.24305,7.033174,26.169895,1.2509216,10.971441,3.9211395
32,23.966568,7.0936627,27.195145,1.272358,11.132769,3.913243
33,24.332321,7.0108995,28.30278,1.3400698,11.048294,3.9244993
34,24.522793,6.8141994,28.77678,1.4356669,10.870873,3.9473193
35,24.953037,6.700686,29.72124,1.5457077,10.999046,3.9763932
36,25.30474,6.557175,30.255941,1.6125573,11.01315,4.055507
37,25.678328,6.436841,31.139961,1.647953,11.324622,4.210617
38,26.291014,6.775896,32.321312,1.8441845,11.564534,4.213918
39,26.975054,7.051123,33.678497,1.8996642,11.650319,4.21984
40,26.937656,7.0836787,34.194115,1.959193,11.5145855,4.2726564
41,26.732124,6.9328265,34.77847,1.9224393,11.397895,4.3517485
42,25.936172,6.953559,35.008675,1.8714536,11.204558,4.224751
43,25.172867,7.1235104,35.242577,1.9074044,10.855454,4.147464
44,24.32186,7.0445037,35.414764,1.9531773,10.550329,4.1972103
45,24.149832,7.287511,35.812046,2.005421,10.547522,4.1813293
46,23.288446,7.295799,35.679913,2.0601196,11.076391,4.0819464
47,23.281265,7.1914177,35.740105,2.0644238,11.60078,3.9806037
48,23.690828,7.434696,36.31075,2.0850916,12.09429,3.929398
49,24.652676,8.096204,36.83571,2.1612773,12.541633,3.9116476
50,25.47769,8.75172,37.617065,2.2228138,12.927667,3.751899
51,25.88464,9.120056,38.540916,2.2227612,13.289593,3.5515475
52,26.652607,9.242239,39.162445,2.1827834,13.347664,3.414245
53,27.141598,9.159582,39.281063,2.3540857,13.3757925,3.279816
54,26.541533,8.842161,38.91817,2.6061423,13.1207905,3.154566
55,27.027384,8.484039,38.181095,2.699689,12.997856,3.0835285
56,27.621733,8.304284,38.304462,2.8394327,13.137271,3.1861072
57,27.32053,8.033461,38.116135,2.8477232,12.997354,3.2542353
58,27.31209,8.082133,38.124138,2.825532,13.238756,3.21771
59,26.634924,8.0021,37.702084,2.8346982,13.068384,3.337741
60,26.80717,8.06999,37.77987,2.9125993,13.36241,3.4552422
61,26.10386,7.911025,37.390373,2.8327785,13.561735,3.6624691
62,26.443443,7.7747393,37.666336,2.9509249,14.318198,3.8205388
63,26.145771,7.5304565,37.337658,2.9874432,14.45212,3.7725434
64,25.678469,7.473626,36.988625,3.125883,14.306544,3.6053104
65,26.374947,7.780048,37.370506,3.1155453,15.022348,3.443711
66,26.157604,7.7833,37.37073,3.2172372,15.032165,3.3346598
67,26.852869,7.941247,37.956406,3.2299352,15.747832,3.307385
68,26.903666,8.20091,38.250324,3.3417113,15.798267,3.2458582
69,26.38315,8.402252,38.6265,3.3004527,15.307675,3.130608
70,25.636158,8.28644,38.014477,3.1207867,14.623497,3.2030802
71,25.77786,8.162027,38.170204,3.063932,14.315476,3.2507598
72,26.600462,8.005481,39.11235,2.9326444,14.770979,3.527572
73,28.051975,8.052716,40.4324,2.9623818,15.777778,3.8829854
74,29.010485,7.855423,41.42725,2.943274,15.917151,4.273568
75,30.38448,7.6998043,42.392704,2.8016973,16.661694,4.668593
76,31.1791,7.841244,43.484653,2.6870303,17.018143,4.8973856
77,32.243023,8.303378,44.216663,2.643335,17.37993,5.061156
78,32.31898,8.886542,45.218056,2.5020967,17.244781,5.1740904
79,31.24447,9.168705,44.73848,2.4051142,16.94795,5.2491817
80,30.493525,9.237919,44.21399,2.245015,16.491129,5.2469435
81,29.781559,9.453104,43.892853,2.09998,15.929428,5.1480756
82,28.935732,9.464957,43.40603,2.0200317,15.173249,4.993958
83,28.92261,9.873752,43.6264,1.9870965,15.0037365,5.120047
84,28.304604,9.9073305,43.284657,2.1253734,14.431437,5.3042345
85,27.976164,10.225738,43.36905,2.1752062,14.321214,5.2227397
86,27.76665,10.074019,42.574097,2.2182882,13.834686,5.175053
87,28.911716,10.272587,42.614628,2.2042887,14.440362,5.0010753
88,29.581505,10.322068,42.622643,2.154635,14.829865,4.9027367
89,30.08713,10.209278,42.80647,2.1796408,15.413155,4.758462
90,30.65674,9.885201,42.93856,2.155429,15.571162,4.9007554
91,29.940018,9.707736,42.102413,2.1021812,15.361616,5.0047994
92,29.69938,9.820698,42.46342,2.032937,15.831453,4.890744
93,29.293283,9.951324,42.59606,2.2372665,15.608278,4.9927816
94,29.046694,9.92503,42.79092,2.7624106,15.4004345,4.837426
95,28.030252,10.239732,42.84857,3.1747231,14.795574,4.664136
96,26.53258,10.12524,42.16369,3.2915993,14.4248495,4.532071
97,24.643707,9.708897,41.024345,3.212884,13.948359,4.33946
98,23.948181,9.882489,40.95171,3.1099343,13.881293,4.307317
99,23.062605,9.886749,40.882385,2.9455647,13.437775,4.233564
100,22.797165,9.994137,41.114433,2.7100983,13.284918,4.055495
101,22.061703,9.781955,40.458797,2.5847619,12.981346,3.9992816
102,21.073915,9.316245,39.085205,2.3922756,12.548082,3.9733922
103,21.246063,8.991383,38.577843,2.3578744,12.87136,3.805033
104,20.881174,8.494106,37.84621,2.235065,12.731365,3.7201529
105,21.68934,8.124601,38.03325,2.1617546,13.501246,3.5303798
106,21.612297,7.700113,37.523235,2.1241305,14.019422,3.3234015
107,21.942184,7.762859,37.61661,2.1593137,14.298652,3.2801898
108,22.348372,7.985371,37.034977,2.143679,14.052364,3.3429823
109,23.019997,8.37842,37.184338,2.1926873,14.319555,3.3784409
110,23.546728,8.404743,37.108875,2.2339678,14.182359,3.3149354
111,24.59832,8.160915,37.56509,2.2190952,14.355741,3.2747922
112,25.215677,8.062905,37.706745,2.2189376,14.291328,3.2076163
113,25.204702,7.844081,37.680233,2.1319501,13.831299,3.2600558
114,25.689915,7.5622354,37.95185,1.9953703,13.683942,3.3385308
115,25.993906,7.349786,37.976368,2.015344,13.265902,3.3025584
116,26.523123,7.459897,38.50515,1.9941461,13.387223,3.1675751
117,26.959652,7.4488997,38.75922,1.999579,13.089895,3.0138285
118,27.56787,7.9673834,39.47089,2.022835,13.196396,3.0184608
119,27.804655,8.504149,40.838505,2.1497188,13.395003,2.9908643
120,26.982405,8.62156,40.952625,2.1920404,13.169858,2.9885724
121,26.687485,8.422745,40.836174,2.2766194,12.933953,2.9594193
122,27.018978,8.057226,39.723938,2.2848084,12.45706,2.915978
123,28.100616,7.7202525,39.601246,2.2448747,12.691536,2.8655064
124,27.87539,7.427837,39.07092,2.2716641,12.606889,2.8553972
125,27.748943,7.2724905,39.155575,2.1964548,12.5868,2.79236
126,26.998985,7.099204,38.48298,2.2026994,12.320445,2.6709015
127,26.274452,6.835337,38.214985,2.1175818,12.234743,2.5273507
128,25.506124,6.732146,37.951523,2.1205685,12.069206,2.649909
129,25.8203,7.0901394,38.343822,2.0840943,12.169781,2.7137458
130,26.274158,7.3305893,38.198154,2.075961,12.1221695,2.7042625
131,26.205542,7.491299,38.379852,1.9911673,12.05677,2.6867056
132,26.388777,7.399544,38.857468,1.863946,12.286569,2.6638567
133,26.919636,7.1976304,39.512024,1.7192903,12.22415,2.57251
134,26.937208,6.933877,39.81961,1.791122,12.080674,2.4809043
135,26.641462,6.708797,39.53538,1.8129091,11.831424,2.3929691
136,26.301712,6.4062886,38.53671,1.8991863,11.4127655,2.2840543
137,25.476807,6.075008,37.414474,1.881274,10.911975,2.227962
138,24.981035,6.033678,36.755867,1.9840282,10.727292,2.205649
139,25.743868,6.0186777,37.241085,2.1599944,10.852388,2.6362581
140,26.16323,6.232062,37.45516,2.281309,10.969264,3.030612
141,27.04529,6.8273673,38.35498,2.3630598,11.731009,3.2031422
142,27.08259,7.030514,38.274044,2.464208,11.956316,3.362942
143,27.272573,7.0258875,38.365055,2.7665641,12.458692,3.504287
144,27.191277,7.2572474,38.769543,2.8333132,13.061845,3.579855
145,27.522308,7.2889023,39.185703,2.7970974,13.348942,3.7532258
146,28.804447,7.508691,40.37392,2.7470205,14.497537,3.8838336
147,30.036203,7.559051,41.200294,2.8362386,15.51112,3.8146508
148,30.7804,7.4376845,41.546925,2.8621309,16.033524,3.9372973
149,32.088005,7.7818766,42.84139,2.9020207,16.765295,4.173437
150,32.422318,8.137289,43.476234,2.7994046,16.674337,4.276333
151,33.430958,8.919445,44.57957,2.9034038,17.6761,4.169946
152,33.263973,9.435171,44.843304,2.9859185,17.715618,4.3642473
153,32.278603,9.461679,43.439487,3.0045996,17.49965,4.3815727
154,32.654728,9.32478,43.02035,2.9305763,18.020727,4.3404474
155,32.0878,8.95902,42.530792,2.8015702,17.880817,4.405485
156,32.82253,9.040071,42.324566,2.6444936,18.074556,4.2649927
157,32.99112,8.839818,42.09706,2.5752203,17.95098,4.129125
158,32.33365,8.44813,41.62765,2.518713,17.798159,3.957036
159,31.816956,8.175542,41.650005,2.4761076,17.514465,3.9077804
160,32.25134,8.264488,42.598003,2.4928577,17.624763,3.9855359
161,32.045616,8.425588,43.002594,2.6423166,17.436783,3.910533
162,33.17488,8.43853,43.6207,2.7731292,18.023178,3.9753358
163,33.95987,8.356385,44.034775,2.937452,18.221903,3.9335823
164,33.883842,8.150785,43.974007,2.9596088,17.836271,3.9703298
165,34.283775,7.9759827,43.921535,2.8450482,17.639076,4.151477
166,34.70266,7.802426,44.36116,2.6946645,17.864454,4.0955396
167,34.00799,7.5096726,44.431046,2.52907,17.410994,4.069525
168,32.803177,7.2466187,43.603195,2.363553,16.56604,4.316806
169,33.051655,7.1035786,43.506306,2.2568514,16.45664,4.6153746
170,32.536186,6.841461,43.035828,2.2865427,15.934524,4.602152
171,32.335606,6.8303294,43.202072,2.3092248,15.653828,4.408745
172,31.876894,6.899784,42.999783,2.4232767,15.181674,4.276738
173,30.535555,6.8349876,41.766346,2.3953452,14.446068,4.5586514
174,30.554144,7.045104,41.784042,2.5181262,14.740067,4.666268
175,30.094452,7.1257987,42.0401,2.9803312,14.774631,4.7151694
176,29.948465,7.0557513,42.147358,3.494263,14.949843,4.674436
177,29.714546,6.8381395,42.2173,4.025815,14.655689,4.6271615
178,30.464308,6.735593,42.679314,4.316544,15.457234,4.7243814
179,30.131437,6.942885,41.818775,4.4913526,15.626543,5.4971457
180,30.4952,7.3043327,41.2804,5.0930767,15.882072,6.6821713
181,31.793045,8.970361,40.918858,5.3232307,16.570091,7.0967884
182,32.796288,10.457191,41.284004,5.803493,16.74963,8.171867
183,34.400097,12.417971,41.323578,6.029864,17.056385,8.403849
184,35.068684,14.9164,41.6976,6.403632,16.713165,9.674461
185,35.79255,17.92058,42.441006,6.9001193,16.764578,9.942727
186,36.215103,20.03178,42.273434,7.051812,16.30556,10.992059
187,35.932858,21.359318,42.420597,7.2525997,15.517553,12.195984
188,35.805172,22.482641,42.77185,7.263369,15.39349,12.277769
189,34.78133,22.98133,42.30767,6.910894,14.802177,12.426073
190,33.784348,23.176918,42.08816,6.6142826,14.411173,12.655825
191,33.248356,22.806616,42.47201,6.5392933,14.336425,12.170693
192,31.586689,23.136564,41.249218,6.077631,14.788429,12.202155
193,32.7305,23.976646,42.04656,5.8816905,16.852133,11.506217
194,32.730038,25.206789,41.052944,5.542375,18.237513,11.532702
195,33.54924,26.515495,40.89626,5.278083,19.85326,10.876878
196,33.841866,26.942461,40.961445,5.016728,20.331013,11.203867
197,34.312855,27.806719,41.30013,4.7792716,20.409912,10.699151
198,33.80902,28.257738,40.362843,4.740665,20.106981,10.794351
199,34.48301,28.573662,40.977142,4.8243523,20.734959,10.297022
200,34.122837,28.439968,39.926586,4.6403966,20.725327,10.342096
201,34.63941,29.15191,40.264893,4.3659606,21.39375,9.790204
202,33.535603,29.57579,40.081394,4.1639056,21.34304,9.644972
203,31.568481,28.939611,40.056946,4.289603,20.493172,9.096679
204,31.994,29.009205,40.928936,4.4462957,21.022638,8.300624
205,31.900229,28.43819,40.99955,4.6819077,20.501812,8.249775
206,32.101524,28.852613,39.506374,4.562837,19.475874,7.784896
207,32.627365,28.732933,38.955906,4.5090723,18.820915,7.399446
208,32.683083,28.473951,38.46125,4.4356084,18.115585,6.806022
209,32.950916,28.234251,37.68552,4.2459993,17.501944,6.8509316
210,32.366154,27.714228,37.000282,3.9980462,16.577185,6.710611
211,31.601349,27.50884,36.371864,3.7339206,15.501935,6.284444
212,30.499466,27.514706,36.027744,3.6885085,14.708788,6.051517
213,29.526024,27.517435,35.853657,3.6203701,13.90692,5.8599977
214,28.506361,27.629396,35.53741,3.3980813,13.214475,5.9962974
215,28.88043,28.115294,35.713787,3.2961185,13.12256,5.775504
216,29.012106,28.656857,36.324917,3.2754345,12.915765,6.0935683
